Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,22uF,
"C5, C6",0603,2,4.7uF,
C7,0603,1,1uF,
D6,SOD-123,1,MBR0540T1G,
J1,PinSocket_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
J2,Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal_PiPad,1,Conn_01x40,
J3,Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal_PiPad,1,Conn_01x22,
L2,SD53-100-R,1,10uH 20%,
"R1, R15",0603,2,10k,RC0603FR-072K2L
R16,0603,1,2,RC0603FR-072K2L
R17,0603,1,3.3,RC0603FR-072K2L
"TP1, TP2, TP3, TP4",TestPoint_Pad_D1.0mm,4,TestPoint,
U1,SOT-223-3_TabPin2,1,AMS1117-1.8,
U2,SOT-23-6,1,TPS61165DBV,
